#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd
1,Behuli,Sajjan Raj Vaidya,7/5/2025,80.0,59.0,54.0,-7.0,29.0,4:25,65.0,53.0,5.0,9312.0
2,Bardali,Sushant KC,11/1/2024,95.0,39.0,66.0,-10.0,64.0,3:30,60.0,64.0,6.0,1563.0
3,Jun Na Heri,Wangden Sherpa,4/4/2025,179.0,50.0,46.0,-10.0,60.0,4:01,73.0,54.0,109.0,8652.0
4,Jhim Jhimaune Aankha,Ekdev Limbu,12/1/2024,116.0,41.0,50.0,-10.0,25.0,3:27,89.0,60.0,44.0,8637.0
5,Radha,Swoopna Suman,4/28/2025,168.0,44.0,48.0,-10.0,33.0,5:51,85.0,53.0,18.0,2348.0
6,Aau Na,Lov X,12/4/2023,83.0,44.0,62.0,-12.0,21.0,1:45,3.0,0.0,0.0,5519.0
7,"Kafle - From(""Oonko Sweater[The Woolen Sweater]"")",Sujan Chapagain,4/14/2025,130.0,43.0,66.0,-10.0,34.0,3:41,83.0,29.0,21.0,4581.0
8,Kasari,Yabesh Thapa,2/14/2024,172.0,36.0,44.0,-13.0,42.0,3:54,80.0,59.0,22.0,4017.0
9,Sparsha Sangeet,Purna Rai,7/7/2024,130.0,55.0,59.0,-9.0,33.0,6:08,28.0,53.0,32.0,1121.0
10,JHUT,Lov X,11/17/2024,84.0,48.0,48.0,-11.0,15.0,3:03,82.0,45.0,30.0,2084.0
11,Ma Mare Pani,Swar,2/27/2025,118.0,43.0,51.0,-10.0,21.0,4:27,3.0,50.0,88.0,6267.0
12,Sasto Mutu,Sajjan Raj Vaidya,1/1/2022,156.0,54.0,52.0,-9.0,37.0,4:25,71.0,55.0,92.0,5545.0
13,Ekkasi - Alternate Version,Yabesh Thapa,3/3/2025,142.0,30.0,33.0,-14.0,24.0,4:00,77.0,47.0,194.0,208.0
14,Timilai Samjhera,Lov X,2/24/2023,126.0,74.0,79.0,-4.0,61.0,2:02,76.0,46.0,56.0,5386.0
15,Sarara Sarara,Kehar Sing Limbu,3/4/2025,165.0,43.0,39.0,-11.0,52.0,3:48,67.0,57.0,323.0,2458.0
16,Parkha Na,Sushant KC,2/2/2024,152.0,37.0,69.0,-12.0,38.0,4:02,55.0,57.0,93.0,5051.0
17,Furfuri,Kuma Sagar,6/16/2024,77.0,56.0,67.0,-8.0,52.0,4:13,89.0,56.0,110.0,9457.0
18,Maya Ko Sairana,Lov X,4/20/2024,73.0,61.0,60.0,-8.0,61.0,2:24,29.0,45.0,83.0,7372.0
19,Ma Haraye,Subodh KC,12/22/2024,122.0,35.0,64.0,-15.0,41.0,3:33,36.0,32.0,530.0,2770.0
20,Eklai Bhayeni - Mero Adhuro Prem,Sujan Chapagain,12/8/2024,83.0,51.0,20.0,-9.0,28.0,8:14,48.0,48.0,195.0,8446.0
21,A Mai Re,Kuma Sagar,11/3/2023,176.0,36.0,54.0,-14.0,61.0,5:00,44.0,53.0,553.0,1359.0
22,Sakdina Bhulna,Lov X,2/2/2024,87.0,36.0,42.0,-11.0,8.0,2:33,4.0,43.0,108.0,7347.0
23,Badal Sari,Swar,11/20/2024,111.0,43.0,52.0,-8.0,18.0,5:10,34.0,34.0,493.0,9600.0
24,Dhoka Khola,Bibash Jk,4/5/2025,103.0,73.0,75.0,-9.0,97.0,3:33,15.0,22.0,77.0,8401.0
25,Naam K Ho,Trishna Gurung,7/30/2024,158.0,53.0,63.0,-8.0,71.0,3:29,68.0,52.0,54.0,4810.0
26,Badlirahaney Maya,Lov X,2/24/2023,94.0,64.0,74.0,-9.0,40.0,2:33,30.0,44.0,135.0,7664.0
27,Sailo Ma Charghare,Bishwo Dong,1/28/2025,96.0,88.0,63.0,-6.0,67.0,4:37,7.0,43.0,324.0,823.0
28,Timi ra ma,Salin Magar,7/7/2023,170.0,34.0,34.0,-10.0,38.0,4:26,88.0,41.0,531.0,735.0
29,"Udaayo Mann (From ""Behuli From Meghauli"")",Indrakala Rai,7/17/2024,98.0,63.0,82.0,-8.0,64.0,4:30,29.0,44.0,532.0,4628.0
30,Fula Le Dhakaula Timilai,Lov X,6/5/2024,89.0,53.0,54.0,-11.0,30.0,2:41,25.0,45.0,160.0,930.0
31,Khusi Ka Phool Batulera,Kendra Motion Pictures,7/16/2024,115.0,40.0,69.0,-8.0,20.0,5:09,94.0,14.0,325.0,6896.0
32,Bhikhaari,Oasis Thapa,6/10/2023,130.0,21.0,57.0,-15.0,56.0,3:33,91.0,59.0,78.0,2702.0
33,Je Chhau Timi,Swoopna Suman,3/26/2023,175.0,25.0,35.0,-13.0,23.0,3:57,83.0,54.0,177.0,1558.0
34,GALTI,Lov X,3/18/2025,138.0,47.0,68.0,-11.0,36.0,3:03,54.0,42.0,187.0,2927.0
35,Bhanai,Tribal Rain,9/28/2017,140.0,18.0,73.0,-15.0,43.0,3:49,97.0,52.0,40.0,8723.0
36,Vanana Matra,John Rai,3/20/2024,105.0,12.0,62.0,-17.0,50.0,2:51,94.0,56.0,45.0,2379.0
37,Hitaiko Maya,Neetesh Jung Kunwar,10/21/2023,121.0,41.0,84.0,-10.0,67.0,4:14,60.0,48.0,33.0,2067.0
38,Satarangi,Lov X,6/1/2024,87.0,47.0,75.0,-9.0,14.0,1:06,30.0,42.0,213.0,8464.0
39,Maya,Ashutosh KC,5/28/2021,77.0,47.0,19.0,-7.0,40.0,4:43,40.0,55.0,161.0,7676.0
40,Chitthi Bhitra,Sajjan Raj Vaidya,1/1/2018,164.0,24.0,54.0,-16.0,55.0,5:03,87.0,54.0,170.0,9049.0
41,Bujhau Malai,Sushant Ghimire,3/26/2024,87.0,44.0,28.0,-10.0,14.0,4:53,57.0,43.0,222.0,5793.0
42,Radha Rukmini,Lov X,3/18/2025,146.0,54.0,68.0,-10.0,67.0,3:10,71.0,44.0,236.0,6632.0
43,K Garney,Bizen,7/24/2024,90.0,55.0,80.0,-13.0,77.0,2:43,47.0,42.0,608.0,591.0
44,Sarangi,Sushant KC,6/24/2023,80.0,50.0,55.0,-8.0,29.0,4:48,52.0,59.0,171.0,8721.0
45,Birsiney Hau Ki,The Elements,3/23/2019,82.0,35.0,59.0,-10.0,55.0,4:21,25.0,50.0,23.0,4528.0
46,Timilai K Bhanu,Lov X,1/20/2024,100.0,71.0,81.0,-7.0,63.0,2:20,11.0,43.0,263.0,2523.0
47,Timro Pratiksa,Shallum Lama,11/22/2022,145.0,32.0,51.0,-13.0,20.0,4:02,56.0,0.0,326.0,2113.0
48,Oh Na Na - Nepali Version,Karl Wine,4/5/2024,105.0,51.0,83.0,-8.0,76.0,2:20,39.0,44.0,636.0,1327.0
49,Jhyal Bata,Sushant KC,12/3/2023,81.0,35.0,37.0,-9.0,23.0,3:42,81.0,53.0,246.0,2044.0
50,BAIMANI,Lov X,2/22/2025,80.0,31.0,59.0,-12.0,8.0,2:49,78.0,42.0,289.0,9662.0
51,Thamana Haat,Samir Shrestha,2/18/2022,95.0,25.0,52.0,-15.0,50.0,3:11,74.0,55.0,55.0,6989.0
52,Timi Nacha Na,Wangden Sherpa,10/20/2023,103.0,52.0,85.0,-6.0,60.0,2:59,81.0,57.0,554.0,7754.0
53,Timi Sangai,Apurva Tamang,11/26/2022,82.0,46.0,59.0,-9.0,65.0,2:31,75.0,0.0,24.0,6291.0
54,Ma Tira Farki Herana,Karan Bhatta,9/14/2023,103.0,61.0,70.0,-8.0,82.0,3:05,45.0,4.0,111.0,820.0
55,Fula,Lov X,2/22/2025,135.0,42.0,76.0,-12.0,83.0,2:31,52.0,42.0,313.0,5815.0
56,Timro Akhaima Gajal,Benisha Paudel,11/1/2022,98.0,64.0,89.0,-7.0,74.0,3:38,57.0,0.0,637.0,4848.0
