Title,Artist
Behuli,Sajjan Raj Vaidya
Bardali,Sushant KC
Jun Na Heri,Wangden Sherpa
Jhim Jhimaune Aankha,Ekdev Limbu
Radha,Swoopna Suman
Aau Na,Lov X
"Kafle - From(""Oonko Sweater[The Woolen Sweater]"")",Sujan Chapagain
Kasari,Yabesh Thapa
Sparsha Sangeet,Purna Rai
JHUT,Lov X
Ma Mare Pani,Swar
Sasto Mutu,Sajjan Raj Vaidya
Ekkasi - Alternate Version,Yabesh Thapa
Timilai Samjhera,Lov X
Sarara Sarara,Kehar Sing Limbu
Parkha Na,Sushant KC
Furfuri,Kuma Sagar
Maya Ko Sairana,Lov X
Ma Haraye,Subodh KC
Eklai Bhayeni - Mero Adhuro Prem,Sujan Chapagain
A Mai Re,Kuma Sagar
Sakdina Bhulna,Lov X
Badal Sari,Swar
Dhoka Khola,Bibash Jk
Naam K Ho,Trishna Gurung
Badlirahaney Maya,Lov X
Sailo Ma Charghare,Bishwo Dong
Timi ra ma,Salin Magar
"Udaayo Mann (From ""Behuli From Meghauli"")",Indrakala Rai
Fula Le Dhakaula Timilai,Lov X
Khusi Ka Phool Batulera,Kendra Motion Pictures
Bhikhaari,Oasis Thapa
Je Chhau Timi,Swoopna Suman
GALTI,Lov X
Bhanai,Tribal Rain
Vanana Matra,John Rai
Hitaiko Maya,Neetesh Jung Kunwar
Satarangi,Lov X
Maya,Ashutosh KC
Chitthi Bhitra,Sajjan Raj Vaidya
Bujhau Malai,Sushant Ghimire
Radha Rukmini,Lov X
K Garney,Bizen
Sarangi,Sushant KC
Birsiney Hau Ki,The Elements
Timilai K Bhanu,Lov X
Timro Pratiksa,Shallum Lama
Oh Na Na - Nepali Version,Karl Wine
Jhyal Bata,Sushant KC
BAIMANI,Lov X
Thamana Haat,Samir Shrestha
Timi Nacha Na,Wangden Sherpa
Timi Sangai,Apurva Tamang
Ma Tira Farki Herana,Karan Bhatta
Fula,Lov X
Timro Akhaima Gajal,Benisha Paudel
Parelima,1974 A.D
Banideu,Garage Music
Jau Bhaney Kaha Jau,Lov X
Jindagi Sarara,Sushant Ghimire
Yo Sahar,Prajina
Fakaula Timilai,Oasis Thapa
Sapana,Lov X
Ghaam Chaya,Tunna Bell Thapa
Khusi,The Dreamcatchers Official
Darauchha Mann,Prabesh Kumar Shrestha
K Bhayo Kunni,Lov X
Tuina Ko Cha Hai Bhara,Night
Mann Chari,Sushant Ghimire
Hajaraw Rahara,Anmol Gurung
Aakha Nasalu,Lov X
Hyatteri,Sajjan Raj Vaidya
Sahara,Tribal Rain
Kewal,Bikki Gurung
Jhariracha Pani,Lov X
